DEPARTAMENTO,MUNICIPIO,CODIGO DANE,CLASE BIEN,FECHA HECHO,CANTIDAD
ANTIOQUIA,EL SANTUARIO,56970,MOTOCICLETA,2010-01-06,1
ANTIOQUIA,LA ESTRELLA,53800,MOTOCICLETA,2010-01-06,1
VALLE,CALI (CT),76001,MOTOCICLETA,2010-01-06,1
SAN ANDRES,SAN ANDRES (CT),88001,MOTOCICLETA,2010-01-06,1
META,VILLAVICENCIO (CT),50001,MOTOCICLETA,2010-01-06,1
NARINO,EL TAMBO,52260,MOTOCICLETA,2010-01-06,1
ANTIOQUIA,MEDELLIN (CT),50010,MOTOCICLETA,2010-01-06,1
BOYACA,JENESANO,15367,MOTOCICLETA,2010-01-06,1
CAQUETA,FLORENCIA (CT),18001,MOTOCICLETA,2010-01-06,1
CAUCA,ALMAGUER,19022,MOTOCICLETA,2010-01-06,1
VALLE,CARTAGO,76147,MOTOCICLETA,2010-01-06,1
MAGDALENA,SANTA MARTA (CT),47001,MOTOCICLETA,2010-01-06,1
ANTIOQUIA,MEDELLIN (CT),50010,AUTOMOVIL,2010-01-06,1
NARINO,IPIALES,52356,AUTOMOVIL,2010-01-06,1
SANTANDER,SAN GIL,68679,CAMION,2010-01-06,1
VALLE,CALI (CT),76001,AUTOMOVIL,2010-01-06,1
META,VILLAVICENCIO (CT),50001,CAMION,2010-01-06,1
HUILA,LA PLATA,41396,CAMIONETA,2010-01-06,1
BOGOTA,BOGOTA D.C. (CT),11001,AUTOMOVIL,2010-01-06,1
CAUCA,SANTANDER DE QUILICHAO,19698,CAMIONETA,2010-01-06,1
CUNDINAMARCA,SOACHA,25754,CAMPERO,2010-01-06,1
BOGOTA,BOGOTA D.C. (CT),11001,CAMIONETA,2010-01-06,1
ANTIOQUIA,MEDELLIN (CT),50010,CAMPERO,2010-01-06,1
ANTIOQUIA,ITAGUI,53600,CAMIONETA,2010-01-06,1
CUNDINAMARCA,TIBACUY,25805,VOLQUETA,2010-01-06,1
NARINO,IPIALES,52356,CAMION,2010-01-06,1
NARINO,PASTO (CT),52001,AUTOMOVIL,2010-01-06,1
SANTANDER,FLORIDABLANCA,68276,CAMION,2010-01-06,1
ATLANTICO,BARRANQUILLA (CT),80010,AUTOMOVIL,2010-01-06,1
RISARALDA,SANTA ROSA DE CABAL,66682,AUTOMOVIL,2010-01-06,1
GUAJIRA,SAN JUAN DEL CESAR,44650,CAMION,2010-01-06,1
CUNDINAMARCA,SOACHA,25754,MOTOCICLETA,2010-01-07,1
VALLE,CALI (CT),76001,MOTOCICLETA,2010-01-07,1
CHOCO,BAJO BAUDO,27077,MOTOCICLETA,2010-01-07,1
VALLE,TULUA,76834,MOTOCICLETA,2010-01-07,1
GUAJIRA,MAICAO,44430,MOTOCICLETA,2010-01-07,1
BOLIVAR,CARTAGENA (CT),13001,MOTOCICLETA,2010-01-07,1
BOYACA,SOGAMOSO,15759,MOTOCICLETA,2010-01-07,1
ANTIOQUIA,BELLO,50880,MOTOCICLETA,2010-01-07,1
CORDOBA,SAHAGUN,23660,MOTOCICLETA,2010-01-07,1
SAN ANDRES,SAN ANDRES (CT),88001,MOTOCICLETA,2010-01-07,1
MAGDALENA,GUAMAL,47318,MOTOCICLETA,2010-01-07,1
BOGOTA,BOGOTA D.C. (CT),11001,CAMIONETA,2010-01-07,1
CUNDINAMARCA,ZIPACON,25898,CAMION,2010-01-07,1
CUNDINAMARCA,FACATATIVA,25269,CAMION,2010-01-07,1
BOGOTA,BOGOTA D.C. (CT),11001,MICROBUS,2010-01-07,1
ANTIOQUIA,MEDELLIN (CT),50010,AUTOMOVIL,2010-01-07,1
VALLE,CALI (CT),76001,AUTOMOVIL,2010-01-07,1
SANTANDER,FLORIDABLANCA,68276,CAMION,2010-01-07,1
ANTIOQUIA,BELLO,50880,AUTOMOVIL,2010-01-07,1
CESAR,PELAYA,20550,CAMIONETA,2010-01-07,1
BOGOTA,BOGOTA D.C. (CT),11001,CAMPERO,2010-01-07,1
BOGOTA,BOGOTA D.C. (CT),11001,CAMION,2010-01-07,1
BOGOTA,BOGOTA D.C. (CT),11001,AUTOMOVIL,2010-01-07,1
HUILA,NEIVA (CT),41001,CAMPERO,2010-01-07,1
ANTIOQUIA,BELLO,50880,TAXI,2010-01-07,1
VALLE,EL CERRITO,76248,AUTOMOVIL,2010-01-07,1
CAUCA,POPAYAN (CT),19001,AUTOMOVIL,2010-01-07,1
ANTIOQUIA,ENVIGADO,52660,AUTOMOVIL,2010-01-07,1
CAQUETA,FLORENCIA (CT),18001,AUTOMOVIL,2010-01-07,1
NARINO,PASTO (CT),52001,CAMION,2010-01-07,1
BOLIVAR,MOMPOS,13468,CAMPERO,2010-01-07,1
TOLIMA,IBAGUE (CT),73001,MOTOCICLETA,2010-01-08,1
