AÑO,CODIGO_DANE_MUNICIPIO,DEPARTAMENTO,MUNICIPIO,AÑO_std,VEHICULOS_REGISTRADOS_std,VEHICULOS_HURTADOS_std,VEHICULOS_RECUPERADOS_std,TIPO_VEHICULO_AUTOMOTOR,TIPO_VEHICULO_MOTOCICLETA,DEPARTAMENTO_AMAZONAS,DEPARTAMENTO_ANTIOQUIA,DEPARTAMENTO_ARAUCA,DEPARTAMENTO_ATLANTICO,DEPARTAMENTO_BOGOTA D.C.,DEPARTAMENTO_BOLIVAR,DEPARTAMENTO_BOYACA,DEPARTAMENTO_CALDAS,DEPARTAMENTO_CAQUETA,DEPARTAMENTO_CASANARE,DEPARTAMENTO_CAUCA,DEPARTAMENTO_CESAR,DEPARTAMENTO_CHOCO,DEPARTAMENTO_CORDOBA,DEPARTAMENTO_CUNDINAMARCA,DEPARTAMENTO_GUAINIA,DEPARTAMENTO_GUAVIARE,DEPARTAMENTO_HUILA,DEPARTAMENTO_LA GUAJIRA,DEPARTAMENTO_MAGDALENA,DEPARTAMENTO_META,DEPARTAMENTO_NARINO,DEPARTAMENTO_NORTE DE SANTANDER,DEPARTAMENTO_PUTUMAYO,DEPARTAMENTO_QUINDIO,DEPARTAMENTO_RISARALDA,DEPARTAMENTO_SAN ANDRES ISLAS,DEPARTAMENTO_SANTANDER,DEPARTAMENTO_SUCRE,DEPARTAMENTO_TOLIMA,DEPARTAMENTO_VALLE DEL CAUCA,DEPARTAMENTO_VAUPES,DEPARTAMENTO_VICHADA,TIPO_VEHICULO_ORDINAL,AÑO_BIN_ORDINAL,REGISTRADOS_BIN_ORDINAL,PCA_1,PCA_2,PCA_3,PCA_4
1901,8078,ATLANTICO,BARANOA,-4.89853669858344,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.579395747059947,-4.1664820055956495,1.9936164892829649,0.5071696931559989
1901,13683,BOLIVAR,SANTA ROSA,-4.89853669858344,-0.19870602174400762,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.579215987367954,-4.166344987332706,1.9940143889564599,0.507109785564795
1901,13836,BOLIVAR,TURBACO,-4.89853669858344,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.579395747059947,-4.1664820055956495,1.9936164892829649,0.5071696931559989
1901,19532,CAUCA,PATIA,-4.89853669858344,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.579395747059947,-4.1664820055956495,1.9936164892829649,0.5071696931559989
1901,19698,CAUCA,SANTANDER DE QUILICHAO,-4.89853669858344,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.579395747059947,-4.1664820055956495,1.9936164892829649,0.5071696931559989
1901,19807,CAUCA,TIMBIO,-4.89853669858344,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.579395747059947,-4.1664820055956495,1.9936164892829649,0.5071696931559989
1901,20011,CESAR,AGUACHICA,-4.89853669858344,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.579395747059947,-4.1664820055956495,1.9936164892829649,0.5071696931559989
1901,20011,CESAR,AGUACHICA,-4.89853669858344,-0.19870602174400762,-0.09478539097918356,-0.2036596804051062,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.579215987367954,-4.166344987332706,1.9940143889564599,0.507109785564795
1901,25307,CUNDINAMARCA,GIRARDOT,-4.89853669858344,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.579395747059947,-4.1664820055956495,1.9936164892829649,0.5071696931559989
1901,25799,CUNDINAMARCA,TENJO,-4.89853669858344,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.579395747059947,-4.1664820055956495,1.9936164892829649,0.5071696931559989
1901,25899,CUNDINAMARCA,ZIPAQUIRA,-4.89853669858344,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.579395747059947,-4.1664820055956495,1.9936164892829649,0.5071696931559989
1901,41615,HUILA,RIVERA,-4.89853669858344,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.579395747059947,-4.1664820055956495,1.9936164892829649,0.5071696931559989
1901,47288,MAGDALENA,FUNDACION,-4.89853669858344,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.579395747059947,-4.1664820055956495,1.9936164892829649,0.5071696931559989
1901,50606,META,RESTREPO,-4.89853669858344,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.579395747059947,-4.1664820055956495,1.9936164892829649,0.5071696931559989
1901,52660,ANTIOQUIA,ENVIGADO,-4.89853669858344,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.579395747059947,-4.1664820055956495,1.9936164892829649,0.5071696931559989
1901,54001,NORTE DE SANTANDER,CUCUTA,-4.89853669858344,-0.12486283725852647,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.5504544366490964,-4.144422065261693,2.057678336715651,0.49752457097217195
1901,54001,NORTE DE SANTANDER,CUCUTA,-4.89853669858344,-0.07409564792475819,-0.09478539097918356,-0.2036596804051062,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.5306808705298818,-4.129350056337873,2.1014473008000953,0.49093473593974357
1901,66001,RISARALDA,PEREIRA,-4.89853669858344,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,-1.579395747059947,-4.1664820055956495,1.9936164892829649,0.5071696931559989
1901,68001,SANTANDER,BUCARAMANGA,-4.89853669858344,-0.1954753824227678,-0.09478539097918356,-0.2036596804051062,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,-1.577957669524004,-4.1653858594920985,1.9967996866709246,0.5066904324263678
1901,68077,SANTANDER,BARBOSA,-4.89853669858344,-0.19824450184097334,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,-1.5790362276759613,-4.166207969069761,1.994412288629955,0.5070498779735911
