AÑO,CODIGO_DANE_MUNICIPIO,DEPARTAMENTO,MUNICIPIO,TIPO_VEHICULO,VEHICULOS_REGISTRADOS,VEHICULOS_HURTADOS,VEHICULOS_RECUPERADOS
1916,08078,ATLANTICO,BARANOA,AUTOMOTOR,1.0,0.0,0.0
1916,80780,ATLANTICO,BARANOA,AUTOMOTOR,1.0,0.0,0.0
1917,08078,ATLANTICO,BARANOA,AUTOMOTOR,1.0,0.0,0.0
1917,80780,ATLANTICO,BARANOA,AUTOMOTOR,1.0,0.0,0.0
1919,08078,ATLANTICO,BARANOA,AUTOMOTOR,2.0,0.0,0.0
1919,19573,CAUCA,PUERTO TEJADA,MOTOCICLETA,1.0,0.0,0.0
1919,25290,CUNDINAMARCA,FUSAGASUGA,AUTOMOTOR,1.0,0.0,0.0
1919,80780,ATLANTICO,BARANOA,AUTOMOTOR,2.0,0.0,0.0
1920,17873,CALDAS,VILLAMARIA,MOTOCICLETA,3.0,0.0,0.0
1920,54261,NORTE DE SANTANDER,EL ZULIA,MOTOCICLETA,1.0,0.0,0.0
1920,76364,VALLE DEL CAUCA,JAMUNDI,MOTOCICLETA,1.0,0.0,0.0
1921,23350,CORDOBA,LA APARTADA,AUTOMOTOR,1.0,0.0,0.0
1922,05656,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,1.0,0.0,0.0
1922,15204,BOYACA,COMBITA,MOTOCICLETA,1.0,0.0,0.0
1922,19573,CAUCA,PUERTO TEJADA,MOTOCICLETA,1.0,0.0,0.0
1922,25799,CUNDINAMARCA,TENJO,MOTOCICLETA,1.0,0.0,0.0
1922,50606,META,RESTREPO,AUTOMOTOR,1.0,0.0,0.0
1922,54261,NORTE DE SANTANDER,EL ZULIA,MOTOCICLETA,2.0,0.0,0.0
1922,56560,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,1.0,0.0,0.0
1922,68755,SANTANDER,SOCORRO,MOTOCICLETA,1.0,0.0,0.0
1922,73283,TOLIMA,FRESNO,AUTOMOTOR,1.0,0.0,0.0
1923,08078,ATLANTICO,BARANOA,MOTOCICLETA,1.0,0.0,0.0
1923,23350,CORDOBA,LA APARTADA,AUTOMOTOR,1.0,0.0,0.0
1923,25736,CUNDINAMARCA,SESQUILE,AUTOMOTOR,1.0,0.0,0.0
1923,54001,NORTE DE SANTANDER,CUCUTA,AUTOMOTOR,1.0,0.0,0.0
1923,80780,ATLANTICO,BARANOA,MOTOCICLETA,1.0,0.0,0.0
1924,05656,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,1.0,0.0,0.0
1924,08078,ATLANTICO,BARANOA,AUTOMOTOR,1.0,0.0,0.0
1924,19807,CAUCA,TIMBIO,AUTOMOTOR,1.0,0.0,0.0
1924,56560,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,1.0,0.0,0.0
1924,80780,ATLANTICO,BARANOA,AUTOMOTOR,1.0,0.0,0.0
1925,19807,CAUCA,TIMBIO,MOTOCICLETA,1.0,0.0,0.0
1925,25269,CUNDINAMARCA,FACATATIVA,AUTOMOTOR,1.0,0.0,0.0
1926,05656,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,2.0,0.0,0.0
1926,25799,CUNDINAMARCA,TENJO,AUTOMOTOR,1.0,0.0,0.0
1926,54001,NORTE DE SANTANDER,CUCUTA,MOTOCICLETA,1.0,0.0,0.0
1926,56560,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,2.0,0.0,0.0
1926,76111,VALLE DEL CAUCA,GUADALAJARA DE BUGA,AUTOMOTOR,1.0,0.0,0.0
1928,05656,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,4.0,0.0,0.0
1928,08001,ATLANTICO,BARRANQUILLA,AUTOMOTOR,1.0,0.0,0.0
1928,15632,BOYACA,SABOYA,AUTOMOTOR,1.0,0.0,0.0
1928,25260,CUNDINAMARCA,EL ROSAL,AUTOMOTOR,1.0,0.0,0.0
1928,47745,MAGDALENA,SITIONUEVO,AUTOMOTOR,1.0,0.0,0.0
1928,56560,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,4.0,0.0,0.0
1928,76834,VALLE DEL CAUCA,TULUA,AUTOMOTOR,1.0,0.0,0.0
1928,80010,ATLANTICO,BARRANQUILLA,AUTOMOTOR,1.0,0.0,0.0
1929,05656,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,1.0,0.0,0.0
1929,17380,CALDAS,LA DORADA,AUTOMOTOR,1.0,0.0,0.0
1929,17653,CALDAS,SALAMINA,MOTOCICLETA,1.0,0.0,0.0
1929,56560,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,1.0,0.0,0.0
1929,63190,QUINDIO,CIRCASIA,MOTOCICLETA,1.0,0.0,0.0
1929,66001,RISARALDA,PEREIRA,AUTOMOTOR,1.0,0.0,0.0
1929,66001,RISARALDA,PEREIRA,MOTOCICLETA,1.0,0.0,0.0
1929,68001,SANTANDER,BUCARAMANGA,AUTOMOTOR,1.0,0.0,0.0
1930,05656,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,5.0,0.0,0.0
1930,19807,CAUCA,TIMBIO,MOTOCICLETA,1.0,0.0,0.0
1930,25183,CUNDINAMARCA,CHOCONTA,AUTOMOTOR,1.0,0.0,0.0
1930,25290,CUNDINAMARCA,FUSAGASUGA,AUTOMOTOR,1.0,0.0,0.0
1930,25799,CUNDINAMARCA,TENJO,AUTOMOTOR,1.0,0.0,0.0
1930,25875,CUNDINAMARCA,VILLETA,MOTOCICLETA,1.0,0.0,0.0
1930,54261,NORTE DE SANTANDER,EL ZULIA,AUTOMOTOR,1.0,0.0,0.0
1930,56560,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,5.0,0.0,0.0
1931,05656,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,1.0,0.0,0.0
1931,13683,BOLIVAR,SANTA ROSA,AUTOMOTOR,1.0,0.0,0.0
1931,23350,CORDOBA,LA APARTADA,MOTOCICLETA,1.0,0.0,0.0
1931,25736,CUNDINAMARCA,SESQUILE,MOTOCICLETA,1.0,0.0,0.0
1931,25799,CUNDINAMARCA,TENJO,AUTOMOTOR,1.0,0.0,0.0
1931,56560,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,1.0,0.0,0.0
1931,66400,RISARALDA,LA VIRGINIA,MOTOCICLETA,1.0,0.0,0.0
1932,05656,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,4.0,0.0,0.0
1932,08078,ATLANTICO,BARANOA,AUTOMOTOR,2.0,0.0,0.0
1932,56560,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,4.0,0.0,0.0
1932,76275,VALLE DEL CAUCA,FLORIDA,MOTOCICLETA,1.0,0.0,0.0
1932,80780,ATLANTICO,BARANOA,AUTOMOTOR,2.0,0.0,0.0
1933,15693,BOYACA,SANTA ROSA DE VITERBO,AUTOMOTOR,1.0,0.0,0.0
1933,19807,CAUCA,TIMBIO,AUTOMOTOR,1.0,0.0,0.0
1933,20001,CESAR,VALLEDUPAR,AUTOMOTOR,1.0,0.0,0.0
1933,25183,CUNDINAMARCA,CHOCONTA,AUTOMOTOR,1.0,0.0,0.0
1933,54261,NORTE DE SANTANDER,EL ZULIA,MOTOCICLETA,1.0,0.0,0.0
1933,68276,SANTANDER,FLORIDABLANCA,AUTOMOTOR,1.0,0.0,0.0
1933,76364,VALLE DEL CAUCA,JAMUNDI,MOTOCICLETA,1.0,0.0,0.0
1933,76520,VALLE DEL CAUCA,PALMIRA,MOTOCICLETA,1.0,0.0,0.0
1933,76834,VALLE DEL CAUCA,TULUA,MOTOCICLETA,1.0,0.0,0.0
1934,05266,ANTIOQUIA,ENVIGADO,AUTOMOTOR,1.0,0.0,0.0
1934,05656,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,6.0,0.0,0.0
1934,17380,CALDAS,LA DORADA,AUTOMOTOR,1.0,0.0,0.0
1934,17614,CALDAS,RIOSUCIO,AUTOMOTOR,1.0,0.0,0.0
1934,19807,CAUCA,TIMBIO,AUTOMOTOR,1.0,0.0,0.0
1934,52660,ANTIOQUIA,ENVIGADO,AUTOMOTOR,1.0,0.0,0.0
1934,56560,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,6.0,0.0,0.0
1934,76001,VALLE DEL CAUCA,CALI,AUTOMOTOR,1.0,0.0,0.0
1934,76364,VALLE DEL CAUCA,JAMUNDI,AUTOMOTOR,1.0,0.0,0.0
1935,05360,ANTIOQUIA,ITAGUI,AUTOMOTOR,1.0,0.0,0.0
1935,05656,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,6.0,0.0,0.0
1935,19573,CAUCA,PUERTO TEJADA,AUTOMOTOR,1.0,0.0,0.0
1935,53600,ANTIOQUIA,ITAGUI,AUTOMOTOR,1.0,0.0,0.0
1935,56560,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,6.0,0.0,0.0
1935,68001,SANTANDER,BUCARAMANGA,AUTOMOTOR,1.0,0.0,0.0
1935,68276,SANTANDER,FLORIDABLANCA,AUTOMOTOR,1.0,0.0,0.0
1935,68307,SANTANDER,GIRON,AUTOMOTOR,1.0,0.0,0.0
1935,76364,VALLE DEL CAUCA,JAMUNDI,AUTOMOTOR,1.0,0.0,0.0
1936,00000,ANTIOQUIA,MEDELLIN,AUTOMOTOR,1.0,0.0,0.0
1936,05001,ANTIOQUIA,MEDELLIN,AUTOMOTOR,1.0,0.0,0.0
1936,05034,ANTIOQUIA,ANDES,AUTOMOTOR,1.0,0.0,0.0
1936,05266,ANTIOQUIA,ENVIGADO,AUTOMOTOR,1.0,0.0,0.0
1936,05656,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,5.0,0.0,0.0
