DEPARTAMENTO,MUNICIPIO,CODIGO DANE,CLASE BIEN,FECHA HECHO,CANTIDAD,TIPO_VEHICULO,AÑO,CODIGO_DANE_MUNICIPIO
ANTIOQUIA,MEDELLIN (CT),50010,AUTOMOVIL,2010-01-05,1,AUTOMOTOR,2010,50010
CUNDINAMARCA,GUADUAS,25320,CAMION,2010-01-05,1,AUTOMOTOR,2010,25320
MAGDALENA,SANTA MARTA (CT),47001,TRACTO CAMION,2010-01-05,1,AUTOMOTOR,2010,47001
RISARALDA,PEREIRA (CT),66001,MOTOCICLETA,2010-01-06,1,MOTOCICLETA,2010,66001
ANTIOQUIA,EL SANTUARIO,56970,MOTOCICLETA,2010-01-06,1,MOTOCICLETA,2010,56970
ANTIOQUIA,LA ESTRELLA,53800,MOTOCICLETA,2010-01-06,1,MOTOCICLETA,2010,53800
VALLE,CALI (CT),76001,MOTOCICLETA,2010-01-06,1,MOTOCICLETA,2010,76001
SAN ANDRES,SAN ANDRES (CT),88001,MOTOCICLETA,2010-01-06,1,MOTOCICLETA,2010,88001
META,VILLAVICENCIO (CT),50001,MOTOCICLETA,2010-01-06,1,MOTOCICLETA,2010,50001
NARINO,EL TAMBO,52260,MOTOCICLETA,2010-01-06,1,MOTOCICLETA,2010,52260
ANTIOQUIA,MEDELLIN (CT),50010,MOTOCICLETA,2010-01-06,1,MOTOCICLETA,2010,50010
BOYACA,JENESANO,15367,MOTOCICLETA,2010-01-06,1,MOTOCICLETA,2010,15367
CAQUETA,FLORENCIA (CT),18001,MOTOCICLETA,2010-01-06,1,MOTOCICLETA,2010,18001
CAUCA,ALMAGUER,19022,MOTOCICLETA,2010-01-06,1,MOTOCICLETA,2010,19022
VALLE,CARTAGO,76147,MOTOCICLETA,2010-01-06,1,MOTOCICLETA,2010,76147
MAGDALENA,SANTA MARTA (CT),47001,MOTOCICLETA,2010-01-06,1,MOTOCICLETA,2010,47001
ANTIOQUIA,MEDELLIN (CT),50010,AUTOMOVIL,2010-01-06,1,AUTOMOTOR,2010,50010
NARINO,IPIALES,52356,AUTOMOVIL,2010-01-06,1,AUTOMOTOR,2010,52356
SANTANDER,SAN GIL,68679,CAMION,2010-01-06,1,AUTOMOTOR,2010,68679
VALLE,CALI (CT),76001,AUTOMOVIL,2010-01-06,1,AUTOMOTOR,2010,76001
META,VILLAVICENCIO (CT),50001,CAMION,2010-01-06,1,AUTOMOTOR,2010,50001
HUILA,LA PLATA,41396,CAMIONETA,2010-01-06,1,AUTOMOTOR,2010,41396
BOGOTA,BOGOTA D.C. (CT),11001,AUTOMOVIL,2010-01-06,1,AUTOMOTOR,2010,11001
CAUCA,SANTANDER DE QUILICHAO,19698,CAMIONETA,2010-01-06,1,AUTOMOTOR,2010,19698
CUNDINAMARCA,SOACHA,25754,CAMPERO,2010-01-06,1,AUTOMOTOR,2010,25754
BOGOTA,BOGOTA D.C. (CT),11001,CAMIONETA,2010-01-06,1,AUTOMOTOR,2010,11001
ANTIOQUIA,MEDELLIN (CT),50010,CAMPERO,2010-01-06,1,AUTOMOTOR,2010,50010
ANTIOQUIA,ITAGUI,53600,CAMIONETA,2010-01-06,1,AUTOMOTOR,2010,53600
CUNDINAMARCA,TIBACUY,25805,VOLQUETA,2010-01-06,1,AUTOMOTOR,2010,25805
NARINO,IPIALES,52356,CAMION,2010-01-06,1,AUTOMOTOR,2010,52356
NARINO,PASTO (CT),52001,AUTOMOVIL,2010-01-06,1,AUTOMOTOR,2010,52001
SANTANDER,FLORIDABLANCA,68276,CAMION,2010-01-06,1,AUTOMOTOR,2010,68276
ATLANTICO,BARRANQUILLA (CT),80010,AUTOMOVIL,2010-01-06,1,AUTOMOTOR,2010,80010
RISARALDA,SANTA ROSA DE CABAL,66682,AUTOMOVIL,2010-01-06,1,AUTOMOTOR,2010,66682
GUAJIRA,SAN JUAN DEL CESAR,44650,CAMION,2010-01-06,1,AUTOMOTOR,2010,44650
CUNDINAMARCA,SOACHA,25754,MOTOCICLETA,2010-01-07,1,MOTOCICLETA,2010,25754
VALLE,CALI (CT),76001,MOTOCICLETA,2010-01-07,1,MOTOCICLETA,2010,76001
CHOCO,BAJO BAUDO,27077,MOTOCICLETA,2010-01-07,1,MOTOCICLETA,2010,27077
VALLE,TULUA,76834,MOTOCICLETA,2010-01-07,1,MOTOCICLETA,2010,76834
GUAJIRA,MAICAO,44430,MOTOCICLETA,2010-01-07,1,MOTOCICLETA,2010,44430
BOLIVAR,CARTAGENA (CT),13001,MOTOCICLETA,2010-01-07,1,MOTOCICLETA,2010,13001
BOYACA,SOGAMOSO,15759,MOTOCICLETA,2010-01-07,1,MOTOCICLETA,2010,15759
ANTIOQUIA,BELLO,50880,MOTOCICLETA,2010-01-07,1,MOTOCICLETA,2010,50880
CORDOBA,SAHAGUN,23660,MOTOCICLETA,2010-01-07,1,MOTOCICLETA,2010,23660
SAN ANDRES,SAN ANDRES (CT),88001,MOTOCICLETA,2010-01-07,1,MOTOCICLETA,2010,88001
MAGDALENA,GUAMAL,47318,MOTOCICLETA,2010-01-07,1,MOTOCICLETA,2010,47318
BOGOTA,BOGOTA D.C. (CT),11001,CAMIONETA,2010-01-07,1,AUTOMOTOR,2010,11001
CUNDINAMARCA,ZIPACON,25898,CAMION,2010-01-07,1,AUTOMOTOR,2010,25898
